"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300478","3.2.1","46417","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300480","3.2.2","40104","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300481","3.2.5","40104","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300482","3.2.6","6313","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300483","3.2.7","6421","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300484","3.2.9","68","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300479","3.2.10","-176","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300485","4.1.1","12476923","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300487","4.1.2","1188456","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300488","4.1.3","1075368","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Tidal power turbine","Megawatt hours","210","units ","0","v52300489","4.1.4","27643","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300490","4.1.5","85445","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300491","4.1.6","11288467","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300492","4.1.7","11089512","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300486","4.1.10","198955","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300493","4.2.1","12208535","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300495","4.2.2","1149559","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300496","4.2.3","1036471","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Tidal power turbine","Megawatt hours","210","units ","0","v52300497","4.2.4","27643","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300498","4.2.5","85445","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300499","4.2.6","11058976","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300500","4.2.7","10860021","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300494","4.2.10","198955","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300501","4.3.1","268388","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, industries","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300502","4.3.2","38897","","","","0"
"2005","Nova Scotia","2016A000212","Electricity producer, industries","Hydraulic turbine","Megawatt hours","210","units ","0","v52300503","4.3.3","38897","","","","0"
